tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-10-16,DKI4 (Lubang Buaya),70,31,20,119,9,119,O3,TIDAK SEHAT
2019-10-17,DKI4 (Lubang Buaya),58,31,13,119,8,119,O3,TIDAK SEHAT
2019-10-18,DKI4 (Lubang Buaya),60,33,11,99,9,99,O3,SEDANG
2019-10-19,DKI4 (Lubang Buaya),75,32,14,62,9,75,PM10,SEDANG
2019-10-20,DKI4 (Lubang Buaya),71,32,24,89,6,89,O3,SEDANG
2019-10-21,DKI4 (Lubang Buaya),67,33,12,65,6,67,PM10,SEDANG
2019-10-22,DKI4 (Lubang Buaya),61,33,15,70,8,70,O3,SEDANG
2019-10-23,DKI4 (Lubang Buaya),65,33,20,88,9,88,O3,SEDANG
2019-10-24,DKI4 (Lubang Buaya),73,34,16,118,7,118,O3,TIDAK SEHAT
2019-10-25,DKI4 (Lubang Buaya),65,33,11,172,7,172,O3,TIDAK SEHAT
2019-10-26,DKI4 (Lubang Buaya),61,34,10,122,6,122,O3,TIDAK SEHAT
2019-10-27,DKI4 (Lubang Buaya),76,34,27,77,8,77,O3,SEDANG
2019-10-28,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-29,DKI4 (Lubang Buaya),85,34,27,65,9,85,PM10,SEDANG
2019-10-30,DKI4 (Lubang Buaya),58,34,11,95,10,95,O3,SEDANG
2019-10-31,DKI4 (Lubang Buaya),68,35,16,82,14,82,O3,SEDANG
2019-10-01,DKI5 (Kebon Jeruk) Jakarta Barat,74,24,18,184,11,184,O3,TIDAK SEHAT
2019-10-02,DKI5 (Kebon Jeruk) Jakarta Barat,69,25,10,153,8,153,O3,TIDAK SEHAT
2019-10-03,DKI5 (Kebon Jeruk) Jakarta Barat,78,22,10,138,8,138,O3,TIDAK SEHAT
2019-10-04,DKI5 (Kebon Jeruk) Jakarta Barat,76,21,10,169,8,169,O3,TIDAK SEHAT
2019-10-05,DKI5 (Kebon Jeruk) Jakarta Barat,62,25,10,89,8,89,O3,SEDANG
2019-10-06,DKI5 (Kebon Jeruk) Jakarta Barat,62,21,10,164,8,164,O3,TIDAK SEHAT
2019-10-07,DKI5 (Kebon Jeruk) Jakarta Barat,67,22,10,100,8,100,O3,SEDANG
2019-10-08,DKI5 (Kebon Jeruk) Jakarta Barat,70,24,13,138,8,138,O3,TIDAK SEHAT
2019-10-09,DKI5 (Kebon Jeruk) Jakarta Barat,59,19,9,127,11,127,O3,TIDAK SEHAT
2019-10-10,DKI5 (Kebon Jeruk) Jakarta Barat,73,19,---,173,9,173,O3,TIDAK SEHAT
2019-10-11,DKI5 (Kebon Jeruk) Jakarta Barat,71,21,8,207,9,207,O3,SANGAT TIDAK SEHAT
2019-10-12,DKI5 (Kebon Jeruk) Jakarta Barat,77,21,12,177,11,177,O3,TIDAK SEHAT
2019-10-13,DKI5 (Kebon Jeruk) Jakarta Barat,70,22,7,173,7,173,O3,TIDAK SEHAT
2019-10-14,DKI5 (Kebon Jeruk) Jakarta Barat,77,21,12,156,9,156,O3,TIDAK SEHAT
2019-10-15,DKI5 (Kebon Jeruk) Jakarta Barat,59,19,5,178,5,178,O3,TIDAK SEHAT
2019-10-16,DKI5 (Kebon Jeruk) Jakarta Barat,68,20,10,144,8,144,O3,TIDAK SEHAT
2019-10-17,DKI5 (Kebon Jeruk) Jakarta Barat,60,19,6,156,7,156,O3,TIDAK SEHAT
2019-10-18,DKI5 (Kebon Jeruk) Jakarta Barat,59,19,---,78,8,78,O3,SEDANG
2019-10-19,DKI5 (Kebon Jeruk) Jakarta Barat,59,19,5,70,8,70,O3,SEDANG
2019-10-20,DKI5 (Kebon Jeruk) Jakarta Barat,66,20,9,147,7,147,O3,TIDAK SEHAT
2019-10-21,DKI5 (Kebon Jeruk) Jakarta Barat,65,23,12,87,8,87,O3,SEDANG
2019-10-22,DKI5 (Kebon Jeruk) Jakarta Barat,70,24,13,135,8,135,O3,TIDAK SEHAT
2019-10-23,DKI5 (Kebon Jeruk) Jakarta Barat,69,22,11,140,9,140,O3,TIDAK SEHAT
2019-10-24,DKI5 (Kebon Jeruk) Jakarta Barat,71,23,9,107,8,107,O3,TIDAK SEHAT
2019-10-25,DKI5 (Kebon Jeruk) Jakarta Barat,75,23,7,94,10,94,O3,SEDANG
2019-10-26,DKI5 (Kebon Jeruk) Jakarta Barat,67,22,3,180,9,180,O3,TIDAK SEHAT
2019-10-27,DKI5 (Kebon Jeruk) Jakarta Barat,75,21,10,153,8,153,O3,TIDAK SEHAT
2019-10-28,DKI5 (Kebon Jeruk) Jakarta Barat,60,19,7,93,9,93,O3,SEDANG
2019-10-29,DKI5 (Kebon Jeruk) Jakarta Barat,65,20,7,88,11,88,O3,SEDANG
2019-10-30,DKI5 (Kebon Jeruk) Jakarta Barat,66,21,8,171,7,171,O3,TIDAK SEHAT
2019-10-31,DKI5 (Kebon Jeruk) Jakarta Barat,59,27,7,82,9,82,O3,SEDANG
