tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-12-02,DKI5 (Kebon Jeruk) Jakarta Barat,47,13,18,136,4,136,O3,TIDAK SEHAT
2019-12-03,DKI5 (Kebon Jeruk) Jakarta Barat,63,20,21,107,7,107,O3,TIDAK SEHAT
2019-12-04,DKI5 (Kebon Jeruk) Jakarta Barat,58,23,19,76,7,76,O3,SEDANG
2019-12-05,DKI5 (Kebon Jeruk) Jakarta Barat,61,22,20,73,9,73,O3,SEDANG
2019-12-06,DKI5 (Kebon Jeruk) Jakarta Barat,---,18,22,61,8,61,O3,SEDANG
2019-12-07,DKI5 (Kebon Jeruk) Jakarta Barat,43,19,17,49,7,49,O3,BAIK
2019-12-08,DKI5 (Kebon Jeruk) Jakarta Barat,56,17,29,84,9,84,O3,SEDANG
2019-12-09,DKI5 (Kebon Jeruk) Jakarta Barat,64,16,30,155,10,155,O3,TIDAK SEHAT
2019-12-10,DKI5 (Kebon Jeruk) Jakarta Barat,63,15,24,87,9,87,O3,SEDANG
2019-12-11,DKI5 (Kebon Jeruk) Jakarta Barat,74,17,31,184,11,184,O3,TIDAK SEHAT
2019-12-12,DKI5 (Kebon Jeruk) Jakarta Barat,59,15,26,72,11,72,O3,SEDANG
2019-12-13,DKI5 (Kebon Jeruk) Jakarta Barat,71,30,29,107,11,107,O3,TIDAK SEHAT
2019-12-14,DKI5 (Kebon Jeruk) Jakarta Barat,53,15,22,89,9,89,O3,SEDANG
2019-12-15,DKI5 (Kebon Jeruk) Jakarta Barat,52,20,18,99,5,99,O3,SEDANG
2019-12-16,DKI5 (Kebon Jeruk) Jakarta Barat,64,23,22,88,9,88,O3,SEDANG
2019-12-17,DKI5 (Kebon Jeruk) Jakarta Barat,55,21,20,75,9,75,O3,SEDANG
2019-12-18,DKI5 (Kebon Jeruk) Jakarta Barat,45,15,25,140,9,140,O3,TIDAK SEHAT
2019-12-19,DKI5 (Kebon Jeruk) Jakarta Barat,60,19,24,69,11,69,O3,SEDANG
2019-12-20,DKI5 (Kebon Jeruk) Jakarta Barat,62,19,24,74,15,74,O3,SEDANG
2019-12-21,DKI5 (Kebon Jeruk) Jakarta Barat,66,16,27,95,12,95,O3,SEDANG
2019-12-22,DKI5 (Kebon Jeruk) Jakarta Barat,50,15,21,94,7,94,O3,SEDANG
2019-12-23,DKI5 (Kebon Jeruk) Jakarta Barat,58,15,30,99,7,99,O3,SEDANG
2019-12-24,DKI5 (Kebon Jeruk) Jakarta Barat,57,18,34,105,9,105,O3,TIDAK SEHAT
2019-12-25,DKI5 (Kebon Jeruk) Jakarta Barat,53,14,21,73,8,73,O3,SEDANG
2019-12-26,DKI5 (Kebon Jeruk) Jakarta Barat,51,19,22,91,6,91,O3,SEDANG
2019-12-27,DKI5 (Kebon Jeruk) Jakarta Barat,51,27,24,80,8,80,O3,SEDANG
2019-12-28,DKI5 (Kebon Jeruk) Jakarta Barat,43,16,31,57,11,57,O3,SEDANG
2019-12-29,DKI5 (Kebon Jeruk) Jakarta Barat,56,17,27,69,7,69,O3,SEDANG
2019-12-30,DKI5 (Kebon Jeruk) Jakarta Barat,65,16,39,73,5,73,O3,SEDANG
2019-12-31,DKI5 (Kebon Jeruk) Jakarta Barat,51,16,20,48,5,51,PM10,SEDANG
