tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,,,,,,,,,,,,
2019-05-25,DKI2 (Kelapa Gading),72,16,12,63,10,72,PM10,SEDANG,,,,,,,,,,,,
2019-05-26,DKI2 (Kelapa Gading),71,13,10,90,9,90,O3,SEDANG,,,,,,,,,,,,
2019-05-27,DKI2 (Kelapa Gading),70,10,11,70,8,70,PM10,SEDANG,,,,,,,,,,,,
2019-05-28,DKI2 (Kelapa Gading),65,10,8,53,9,65,PM10,SEDANG,,,,,,,,,,,,
2019-05-29,DKI2 (Kelapa Gading),66,13,9,56,8,66,PM10,SEDANG,,,,,,,,,,,,
2019-05-30,DKI2 (Kelapa Gading),60,12,13,67,8,67,O3,SEDANG,,,,,,,,,,,,
2019-05-31,DKI2 (Kelapa Gading),55,11,11,62,6,62,O3,SEDANG,,,,,,,,,,,,
2019-05-01,DKI3 (Jagakarsa),53,10,29,79,9,79,O3,SEDANG,,,,,,,,,,,,
2019-05-02,DKI3 (Jagakarsa),48,10,18,23,5,48,PM10,BAIK,,,,,,,,,,,,
2019-05-03,DKI3 (Jagakarsa),49,12,13,99,12,99,O3,SEDANG,,,,,,,,,,,,
2019-05-04,DKI3 (Jagakarsa),59,---,24,92,15,92,O3,SEDANG,,,,,,,,,,,,
2019-05-05,DKI3 (Jagakarsa),55,10,19,73,9,73,O3,SEDANG,,,,,,,,,,,,
2019-05-06,DKI3 (Jagakarsa),50,11,14,93,7,93,O3,SEDANG,,,,,,,,,,,,
2019-05-07,DKI3 (Jagakarsa),69,11,27,89,9,89,O3,SEDANG,,,,,,,,,,,,
2019-05-08,DKI3 (Jagakarsa),77,---,34,132,11,132,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-09,DKI3 (Jagakarsa),65,11,24,149,22,149,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-10,DKI3 (Jagakarsa),57,10,17,---,7,57,PM10,SEDANG,,,,,,,,,,,,
2019-05-11,DKI3 (Jagakarsa),52,10,22,---,12,52,PM10,SEDANG,,,,,,,,,,,,
2019-05-12,DKI3 (Jagakarsa),63,10,23,---,8,63,PM10,SEDANG,,,,,,,,,,,,
2019-05-13,DKI3 (Jagakarsa),61,10,20,93,8,93,O3,SEDANG,,,,,,,,,,,,
2019-05-14,DKI3 (Jagakarsa),68,12,17,80,11,80,O3,SEDANG,,,,,,,,,,,,
2019-05-15,DKI3 (Jagakarsa),67,11,17,90,8,90,O3,SEDANG,,,,,,,,,,,,
