tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-04-17,DKI4 (Lubang Buaya),60,22,27,80,9,80,O3,SEDANG
2019-04-18,DKI4 (Lubang Buaya),73,21,16,66,8,73,PM10,SEDANG
2019-04-19,DKI4 (Lubang Buaya),60,22,13,31,5,60,PM10,SEDANG
2019-04-20,DKI4 (Lubang Buaya),33,21,---,66,5,66,O3,SEDANG
2019-04-21,DKI4 (Lubang Buaya),58,22,12,49,4,58,PM10,SEDANG
2019-04-22,DKI4 (Lubang Buaya),58,23,---,49,6,58,PM10,SEDANG
2019-04-23,DKI4 (Lubang Buaya),63,24,---,39,7,63,PM10,SEDANG
2019-04-24,DKI4 (Lubang Buaya),41,22,12,30,6,41,PM10,BAIK
2019-04-25,DKI4 (Lubang Buaya),59,22,22,60,9,60,O3,SEDANG
2019-04-26,DKI4 (Lubang Buaya),34,21,12,98,7,98,O3,SEDANG
2019-04-27,DKI4 (Lubang Buaya),48,21,14,45,8,48,PM10,BAIK
2019-04-28,DKI4 (Lubang Buaya),59,22,22,45,8,59,PM10,SEDANG
2019-04-29,DKI4 (Lubang Buaya),56,22,---,75,8,75,O3,SEDANG
2019-04-30,DKI4 (Lubang Buaya),46,22,---,61,8,61,O3,SEDANG
2019-04-01,DKI5 (Kebon Jeruk) Jakarta Barat,61,14,26,167,15,167,O3,TIDAK SEHAT
2019-04-02,DKI5 (Kebon Jeruk) Jakarta Barat,57,13,35,101,13,101,O3,TIDAK SEHAT
2019-04-03,DKI5 (Kebon Jeruk) Jakarta Barat,62,15,42,146,14,146,O3,TIDAK SEHAT
2019-04-04,DKI5 (Kebon Jeruk) Jakarta Barat,59,14,16,172,10,172,O3,TIDAK SEHAT
2019-04-05,DKI5 (Kebon Jeruk) Jakarta Barat,51,14,18,83,11,83,O3,SEDANG
2019-04-06,DKI5 (Kebon Jeruk) Jakarta Barat,74,11,38,195,9,195,O3,TIDAK SEHAT
2019-04-07,DKI5 (Kebon Jeruk) Jakarta Barat,66,15,35,243,10,243,O3,SANGAT TIDAK SEHAT
2019-04-08,DKI5 (Kebon Jeruk) Jakarta Barat,53,13,18,235,10,235,O3,SANGAT TIDAK SEHAT
2019-04-09,DKI5 (Kebon Jeruk) Jakarta Barat,53,14,16,113,9,113,O3,TIDAK SEHAT
2019-04-10,DKI5 (Kebon Jeruk) Jakarta Barat,65,15,19,162,7,162,O3,TIDAK SEHAT
2019-04-11,DKI5 (Kebon Jeruk) Jakarta Barat,59,23,13,101,9,101,O3,TIDAK SEHAT
2019-04-12,DKI5 (Kebon Jeruk) Jakarta Barat,46,13,17,57,6,57,O3,SEDANG
2019-04-13,DKI5 (Kebon Jeruk) Jakarta Barat,46,14,16,62,8,62,O3,SEDANG
2019-04-14,DKI5 (Kebon Jeruk) Jakarta Barat,37,14,18,85,12,85,O3,SEDANG
2019-04-15,DKI5 (Kebon Jeruk) Jakarta Barat,55,14,24,92,11,92,O3,SEDANG
2019-04-16,DKI5 (Kebon Jeruk) Jakarta Barat,56,16,26,119,11,119,O3,TIDAK SEHAT
2019-04-17,DKI5 (Kebon Jeruk) Jakarta Barat,59,14,39,76,14,76,O3,SEDANG
2019-04-18,DKI5 (Kebon Jeruk) Jakarta Barat,61,13,26,92,8,92,O3,SEDANG
2019-04-19,DKI5 (Kebon Jeruk) Jakarta Barat,41,13,19,42,8,42,O3,BAIK
2019-04-20,DKI5 (Kebon Jeruk) Jakarta Barat,24,13,15,85,7,85,O3,SEDANG
2019-04-21,DKI5 (Kebon Jeruk) Jakarta Barat,53,15,27,47,8,53,PM10,SEDANG
2019-04-22,DKI5 (Kebon Jeruk) Jakarta Barat,48,15,24,54,7,54,O3,SEDANG
2019-04-23,DKI5 (Kebon Jeruk) Jakarta Barat,50,22,15,46,10,50,PM10,BAIK
2019-04-24,DKI5 (Kebon Jeruk) Jakarta Barat,57,17,16,46,8,57,PM10,SEDANG
2019-04-25,DKI5 (Kebon Jeruk) Jakarta Barat,59,14,45,79,11,79,O3,SEDANG
2019-04-26,DKI5 (Kebon Jeruk) Jakarta Barat,37,11,18,115,9,115,O3,TIDAK SEHAT
2019-04-27,DKI5 (Kebon Jeruk) Jakarta Barat,50,11,38,82,9,82,O3,SEDANG
2019-04-28,DKI5 (Kebon Jeruk) Jakarta Barat,58,12,46,78,9,78,O3,SEDANG
2019-04-29,DKI5 (Kebon Jeruk) Jakarta Barat,47,12,28,102,9,102,O3,TIDAK SEHAT
2019-04-30,DKI5 (Kebon Jeruk) Jakarta Barat,39,13,21,93,11,93,O3,SEDANG
