tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-08-10,DKI5 (Kebon Jeruk) Jakarta Barat,69,21,17,80,10,80,O3,SEDANG
2019-08-11,DKI5 (Kebon Jeruk) Jakarta Barat,64,21,14,61,6,64,PM10,SEDANG
2019-08-12,DKI5 (Kebon Jeruk) Jakarta Barat,60,21,14,60,8,60,PM10,SEDANG
2019-08-13,DKI5 (Kebon Jeruk) Jakarta Barat,60,21,13,51,9,60,PM10,SEDANG
2019-08-14,DKI5 (Kebon Jeruk) Jakarta Barat,55,20,11,69,6,69,O3,SEDANG
2019-08-15,DKI5 (Kebon Jeruk) Jakarta Barat,61,20,14,84,8,84,O3,SEDANG
2019-08-16,DKI5 (Kebon Jeruk) Jakarta Barat,92,20,28,207,14,207,O3,SANGAT TIDAK SEHAT
2019-08-17,DKI5 (Kebon Jeruk) Jakarta Barat,71,19,15,174,9,174,O3,TIDAK SEHAT
2019-08-18,DKI5 (Kebon Jeruk) Jakarta Barat,63,19,13,108,6,108,O3,TIDAK SEHAT
2019-08-19,DKI5 (Kebon Jeruk) Jakarta Barat,68,20,17,178,8,178,O3,TIDAK SEHAT
2019-08-20,DKI5 (Kebon Jeruk) Jakarta Barat,65,23,12,171,7,171,O3,TIDAK SEHAT
2019-08-21,DKI5 (Kebon Jeruk) Jakarta Barat,56,23,11,64,10,64,O3,SEDANG
2019-08-22,DKI5 (Kebon Jeruk) Jakarta Barat,56,21,12,88,8,88,O3,SEDANG
2019-08-23,DKI5 (Kebon Jeruk) Jakarta Barat,69,19,15,201,9,201,O3,SANGAT TIDAK SEHAT
2019-08-24,DKI5 (Kebon Jeruk) Jakarta Barat,64,21,12,171,7,171,O3,TIDAK SEHAT
2019-08-25,DKI5 (Kebon Jeruk) Jakarta Barat,66,21,11,128,6,128,O3,TIDAK SEHAT
2019-08-26,DKI5 (Kebon Jeruk) Jakarta Barat,66,20,11,184,6,184,O3,TIDAK SEHAT
2019-08-27,DKI5 (Kebon Jeruk) Jakarta Barat,66,35,12,149,9,149,O3,TIDAK SEHAT
2019-08-28,DKI5 (Kebon Jeruk) Jakarta Barat,61,25,10,108,9,108,O3,TIDAK SEHAT
2019-08-29,DKI5 (Kebon Jeruk) Jakarta Barat,64,18,18,132,10,132,O3,TIDAK SEHAT
2019-08-30,DKI5 (Kebon Jeruk) Jakarta Barat,67,20,13,96,8,96,O3,SEDANG
2019-08-31,DKI5 (Kebon Jeruk) Jakarta Barat,---,---,---,---,---,0,,TIDAK ADA DATA
