pm10,so2,co,o3,no2,categori
34,15,23,51,4,0
52,22,19,36,8,0
43,20,18,106,8,2
44,17,19,83,8,0
53,18,26,60,7,0
72,17,45,77,10,0
56,19,25,62,11,0
24,15,15,49,3,1
50,30,55,182,7,2
48,20,21,62,6,0
21,15,14,73,5,0
34,16,19,46,7,1
32,15,22,55,7,0
21,15,12,88,3,0
18,15,11,89,2,0
20,14,15,83,5,0
40,18,17,52,7,0
16.0,16.0,5.0,29.0,4.0,1
61.0,15.0,28.0,198.0,8.0,2
41.0,13.0,26.0,128.0,8.0,2
65.0,12.0,32.0,99.0,9.0,0
62.0,15.0,22.0,47.0,5.0,0
29.0,19.0,22.0,47.0,12.0,1
63.0,19.0,33.0,118.0,15.0,2
52.0,12.0,22.0,64.0,10.0,0
48.0,11.0,19.0,80.0,11.0,0
24.0,18.0,22.0,73.0,9.0,0
53.0,23.0,22.0,33.0,11.0,0
33.0,14.0,7.0,64.0,11.0,0
36.0,15.0,6.0,39.0,20.0,1
55.0,19.0,14.0,105.0,10.0,2
33.0,19.0,7.0,113.0,26.0,2
61.0,22.0,13.0,66.0,14.0,0
47.0,16.0,13.0,64.0,18.0,0
38.0,19.0,19.0,27.0,13.0,1
33.0,22.0,8.0,33.0,16.0,1
40.0,19.0,13.0,36.0,15.0,1
49.0,22.0,19.0,33.0,18.0,1
48.0,23.0,13.0,58.0,13.0,0
32.0,20.0,9.0,49.0,7.0,1
45.0,20.0,14.0,45.0,14.0,1
24.0,19.0,9.0,45.0,13.0,1
32.0,19.0,20.0,35.0,13.0,1
56.0,20.0,26.0,53.0,17.0,0
45.0,19.0,14.0,52.0,12.0,0
41.0,20.0,32.0,36.0,14.0,1
35.0,19.0,11.0,29.0,12.0,1
28.0,19.0,15.0,43.0,12.0,1
50.0,22.0,16.0,39.0,17.0,1
31.0,18.0,7.0,42.0,7.0,1
39.0,18.0,29.0,32.0,15.0,1
34.0,18.0,12.0,33.0,11.0,1
23.0,19.0,13.0,46.0,16.0,1
45.0,19.0,12.0,43.0,17.0,1
21.0,13.0,3.0,40.0,1.0,1
20.0,13.0,4.0,47.0,2.0,1
23.0,13.0,4.0,46.0,2.0,1
42.0,11.0,7.0,38.0,3.0,1
54.0,11.0,10.0,40.0,3.0,0
71.0,11.0,16.0,132.0,8.0,2
40.0,10.0,7.0,143.0,3.0,2
55.0,10.0,12.0,158.0,6.0,2
49.0,12.0,16.0,127.0,3.0,2
54.0,12.0,18.0,91.0,4.0,0
72.0,10.0,18.0,53.0,10.0,0
31.0,7.0,6.0,64.0,5.0,0
39.0,7.0,8.0,58.0,4.0,0
20.0,7.0,6.0,48.0,4.0,1
44.0,8.0,13.0,63.0,7.0,0
60.0,11.0,25.0,82.0,12.0,0
52.0,10.0,14.0,94.0,8.0,0
23.0,9.0,12.0,92.0,8.0,0
40.0,9.0,24.0,70.0,9.0,0
36.0,9.0,13.0,81.0,9.0,0
32.0,8.0,25.0,74.0,9.0,0
50.0,9.0,33.0,67.0,8.0,0
56.0,9.0,39.0,74.0,8.0,0
53.0,9.0,25.0,77.0,6.0,0
46.0,9.0,22.0,88.0,6.0,0
47.0,10.0,32.0,67.0,9.0,0
56.0,10.0,21.0,54.0,7.0,0
16.0,7.0,6.0,24.0,3.0,1
17.0,7.0,5.0,25.0,4.0,1
15.0,7.0,5.0,26.0,4.0,1
32.0,8.0,9.0,48.0,8.0,1
50.0,9.0,10.0,51.0,8.0,0
61.0,11.0,22.0,93.0,11.0,0
70.0,17.0,16.0,62.0,11.0,0
51.0,22.0,11.0,84.0,15.0,0
57.0,26.0,17.0,45.0,10.0,0
61.0,24.0,15.0,55.0,11.0,0
54.0,25.0,20.0,30.0,11.0,0
47.0,27.0,15.0,44.0,10.0,1
27.0,23.0,8.0,26.0,5.0,1
33.0,23.0,14.0,15.0,9.0,1
25.0,23.0,7.0,18.0,5.0,1
38.0,24.0,10.0,20.0,7.0,1
52.0,26.0,32.0,28.0,11.0,0
47.0,24.0,15.0,37.0,9.0,1
31.0,24.0,14.0,38.0,9.0,1
46.0,23.0,23.0,32.0,9.0,1
39.0,19.0,19.0,33.0,10.0,1
26.0,15.0,23.0,27.0,7.0,1
43.0,14.0,37.0,39.0,9.0,1
40.0,13.0,49.0,33.0,8.0,1
