pm10,so2,co,o3,no2,categori
70,13,19,81,10,0
61,12,19,69,8,0
59,13,14,71,7,0
53,12,10,76,6,0
57,11,15,85,11,0
59,8,22,102,13,2
50,11,16,130,9,2
58,12,20,141,18,2
56,12,19,107,17,2
68,11,31,87,11,0
56,12,17,133,6,2
58,11,13,144,9,2
51,11,14,104,14,2
58,13,19,78,9,0
53,11,22,88,9,0
55,13,16,68,7,0
61,12,13,73,7,0
56,13,9,88,8,0
61,14,18,129,8,2
56,13,19,113,9,2
55,14,19,107,11,2
58,14,23,91,7,0
52,12,21,121,9,2
55,13,23,97,12,0
49,13,21,142,12,2
46,15,17,120,11,2
134,33,17,103,10,2
77,34,8,115,9,2
77,31,8,78,8,0
71,33,11,63,8,0
73,33,7,63,9,0
67,33,8,76,9,0
90,34,9,84,10,0
63,32,9,94,9,0
71,33,7,84,11,0
79,34,8,84,12,0
70,31,20,119,9,2
58,31,13,119,8,2
60,33,11,99,9,0
75,32,14,62,9,0
71,32,24,89,6,0
67,33,12,65,6,0
61,33,15,70,8,0
65,33,20,88,9,0
73,34,16,118,7,2
65,33,11,172,7,2
61,34,10,122,6,2
76,34,27,77,8,0
85,34,27,65,9,0
58,34,11,95,10,0
68,35,16,82,14,0
74,24,18,184,11,2
69,25,10,153,8,2
78,22,10,138,8,2
76,21,10,169,8,2
62,25,10,89,8,0
62,21,10,164,8,2
67,22,10,100,8,0
70,24,13,138,8,2
59,19,9,127,11,2
71,21,8,207,9,3
77,21,12,177,11,2
70,22,7,173,7,2
77,21,12,156,9,2
59,19,5,178,5,2
68,20,10,144,8,2
60,19,6,156,7,2
59,19,5,70,8,0
66,20,9,147,7,2
65,23,12,87,8,0
70,24,13,135,8,2
69,22,11,140,9,2
71,23,9,107,8,2
75,23,7,94,10,0
67,22,3,180,9,2
75,21,10,153,8,2
60,19,7,93,9,0
65,20,7,88,11,0
66,21,8,171,7,2
59,27,7,82,9,0
54.0,19.0,13.0,50.0,10.0,0
58.0,18.0,24.0,67.0,16.0,0
57.0,18.0,20.0,61.0,20.0,0
57.0,18.0,20.0,46.0,12.0,0
56.0,20.0,23.0,43.0,15.0,0
57.0,21.0,20.0,49.0,13.0,0
52.0,21.0,14.0,59.0,10.0,0
53.0,20.0,18.0,47.0,14.0,0
50.0,26.0,15.0,45.0,13.0,1
54.0,24.0,20.0,69.0,16.0,0
57.0,22.0,21.0,90.0,18.0,0
57.0,21.0,22.0,90.0,18.0,0
63.0,21.0,20.0,89.0,14.0,0
55.0,21.0,16.0,50.0,14.0,0
51.0,21.0,15.0,35.0,10.0,0
51.0,22.0,17.0,35.0,14.0,0
52.0,20.0,20.0,47.0,16.0,0
55.0,20.0,19.0,41.0,13.0,0
51.0,22.0,16.0,95.0,14.0,0
58.0,22.0,16.0,75.0,12.0,0
56.0,23.0,18.0,45.0,12.0,0
54.0,22.0,18.0,48.0,12.0,0
67.0,25.0,24.0,71.0,17.0,0
59.0,20.0,21.0,64.0,14.0,0
58.0,23.0,23.0,46.0,16.0,0
61.0,19.0,18.0,49.0,10.0,0
73.0,18.0,16.0,58.0,14.0,0
62.0,18.0,17.0,65.0,14.0,0
74.0,8.0,12.0,66.0,7.0,0
68.0,8.0,17.0,75.0,9.0,0
73.0,7.0,11.0,96.0,9.0,0
74.0,7.0,12.0,76.0,8.0,0
71.0,6.0,11.0,64.0,7.0,0
74.0,7.0,21.0,77.0,9.0,0
73.0,7.0,12.0,62.0,7.0,0
62.0,7.0,10.0,69.0,7.0,0
66.0,7.0,11.0,69.0,6.0,0
64.0,7.0,7.0,57.0,6.0,0
75.0,10.0,15.0,85.0,9.0,0
77.0,9.0,16.0,134.0,8.0,2
81.0,8.0,20.0,112.0,8.0,2
76.0,9.0,16.0,91.0,10.0,0
74.0,8.0,14.0,63.0,6.0,0
67.0,7.0,9.0,52.0,7.0,0
66.0,8.0,11.0,66.0,6.0,0
71.0,7.0,9.0,88.0,6.0,0
69.0,6.0,8.0,54.0,4.0,0
66.0,7.0,9.0,56.0,6.0,0
63.0,9.0,9.0,120.0,6.0,2
78.0,11.0,14.0,84.0,6.0,0
70.0,8.0,11.0,62.0,7.0,0
73.0,8.0,11.0,64.0,8.0,0
78.0,11.0,14.0,82.0,7.0,0
74.0,8.0,10.0,64.0,8.0,0
65.0,7.0,10.0,68.0,9.0,0
61.0,7.0,8.0,66.0,6.0,0
74.0,8.0,15.0,65.0,9.0,0
71.0,7.0,17.0,79.0,9.0,0
58.0,13.0,26.0,79.0,10.0,0
58.0,12.0,19.0,103.0,9.0,2
61.0,13.0,18.0,141.0,11.0,2
68.0,12.0,24.0,132.0,13.0,2
55.0,14.0,26.0,111.0,12.0,2
60.0,12.0,20.0,127.0,9.0,2
71.0,13.0,26.0,78.0,15.0,0
52.0,13.0,20.0,82.0,11.0,0
64.0,12.0,20.0,106.0,11.0,2
66.0,13.0,21.0,73.0,11.0,0
63.0,14.0,25.0,87.0,14.0,0
61.0,13.0,25.0,106.0,15.0,2
63.0,12.0,23.0,99.0,10.0,0
61.0,13.0,21.0,113.0,15.0,2
57.0,13.0,22.0,95.0,8.0,0
59.0,11.0,24.0,65.0,10.0,0
59.0,9.0,21.0,72.0,8.0,0
58.0,13.0,22.0,132.0,8.0,2
69.0,13.0,25.0,88.0,12.0,0
60.0,13.0,14.0,84.0,7.0,0
54.0,13.0,6.0,106.0,5.0,2
56.0,14.0,8.0,134.0,8.0,2
64.0,13.0,10.0,75.0,7.0,0
66.0,15.0,11.0,76.0,6.0,0
68.0,13.0,15.0,159.0,8.0,2
68.0,13.0,15.0,69.0,9.0,0
59.0,12.0,20.0,83.0,8.0,0
52.0,13.0,12.0,81.0,9.0,0
63.0,12.0,14.0,103.0,5.0,2
52.0,12.0,18.0,80.0,7.0,0
67.0,31.0,7.0,97.0,7.0,0
78.0,30.0,11.0,110.0,6.0,2
66.0,30.0,9.0,107.0,7.0,2
69.0,30.0,12.0,93.0,13.0,0
71.0,30.0,12.0,75.0,8.0,0
62.0,31.0,8.0,70.0,7.0,0
67.0,29.0,11.0,93.0,7.0,0
70.0,30.0,7.0,70.0,6.0,0
70.0,32.0,17.0,91.0,10.0,0
74.0,30.0,18.0,129.0,10.0,2
84.0,33.0,19.0,100.0,11.0,0
66.0,32.0,14.0,108.0,9.0,2
65.0,31.0,8.0,70.0,9.0,0
61.0,30.0,6.0,53.0,5.0,0
66.0,32.0,5.0,63.0,6.0,0
63.0,32.0,6.0,119.0,6.0,2
63.0,32.0,7.0,76.0,6.0,0
59.0,31.0,6.0,71.0,6.0,0
57.0,34.0,6.0,135.0,5.0,2
67.0,32.0,9.0,117.0,7.0,2
68.0,33.0,9.0,69.0,8.0,0
66.0,32.0,7.0,70.0,6.0,0
64.0,31.0,7.0,68.0,7.0,0
62.0,31.0,8.0,80.0,8.0,0
63.0,33.0,6.0,82.0,7.0,0
75.0,31.0,19.0,78.0,8.0,0
66.0,31.0,9.0,76.0,8.0,0
67.0,22.0,14.0,109.0,8.0,2
71.0,20.0,14.0,187.0,9.0,2
68.0,22.0,11.0,134.0,9.0,2
63.0,27.0,10.0,144.0,9.0,2
75.0,22.0,16.0,113.0,3.0,2
65.0,19.0,13.0,96.0,4.0,0
65.0,23.0,13.0,127.0,3.0,2
65.0,22.0,13.0,126.0,3.0,2
66.0,21.0,14.0,101.0,3.0,2
56.0,23.0,10.0,91.0,3.0,0
68.0,25.0,17.0,160.0,4.0,2
78.0,22.0,19.0,143.0,3.0,2
69.0,22.0,15.0,156.0,3.0,2
63.0,24.0,14.0,156.0,2.0,2
68.0,23.0,12.0,99.0,2.0,0
60.0,21.0,10.0,74.0,2.0,0
57.0,25.0,10.0,77.0,3.0,0
62.0,22.0,12.0,125.0,4.0,2
70.0,21.0,15.0,107.0,4.0,2
59.0,22.0,10.0,91.0,3.0,0
59.0,22.0,10.0,169.0,3.0,2
65.0,23.0,11.0,153.0,3.0,2
61.0,25.0,12.0,87.0,4.0,0
61.0,26.0,10.0,112.0,9.0,2
68.0,26.0,12.0,174.0,6.0,2
65.0,23.0,10.0,110.0,9.0,2
72.0,22.0,12.0,131.0,8.0,2
58.0,24.0,9.0,102.0,7.0,2
65.0,22.0,12.0,115.0,8.0,2
60.0,20.0,12.0,146.0,7.0,2
